Date;API2;MTFc1 (TRDPRC_1);CMAP4C1 (TRDPRC_1)
18/12/2020;55.8956;53,8556;73,317
17/12/2020;55.8454;53,6035;73,129
11/12/2020;53.0509;53,7941;67,707
10/12/2020;52.9417;52,7357;66,1668
09/12/2020;52.5619;52,3136;66,3025
08/12/2020;52.475;52,0205;67,639
04/12/2020;52.4752;52,0627;69,5545
03/12/2020;50.5354;50,9061;69,687
02/12/2020;50.6397;51,1762;69,3355
01/12/2020;50.3314;50,8285;69,4118
30/11/2020;50.9306;51,1402;57,5991
27/11/2020;49.5319;44,9758;57,5573
26/11/2020;49.7356;44,9929;57,794
25/11/2020;49.148;44,9929;57,9199
24/11/2020;48.3681;44,7931;57,6632
23/11/2020;46.2416;44,9324;57,1368
18/11/2020;47.2494;44,6338;56,4462
17/11/2020;46.6908;44,5578;56,572
16/11/2020;47.2279;44,7144;58,1709
13/11/2020;46.6531;44,6247;56,4571
12/11/2020;46.5097;44,4764;56,0403
11/11/2020;43.3897;43,6868;55,4046
10/11/2020;45.9624;43,4654;54,2153
09/11/2020;48.6752;43,2151;53,2464
06/11/2020;44.3059;42,874;52,308
05/11/2020;44.4971;43,5242;52,1107
04/11/2020;43.7639;43,38;52,2522
03/11/2020;44.1465;43,6342;52,0024
02/11/2020;44.4158;43,5567;51,5893
23/10/2020;48.1491;47,8961;49,9621
22/10/2020;48.3243;48,1127;49,8053
21/10/2020;48.8998;47,6351;49,785
20/10/2020;49.9112;48,2193;50,1227
19/10/2020;49.7195;48,5297;50,442
16/10/2020;49.4965;48,5578;50,4779
15/10/2020;49.5472;48,3086;50,6151
14/10/2020;49.3785;48,2292;50,4853
13/10/2020;48.1948;48,1097;50,579
12/10/2020;47.9133;48,1249;51,1724
09/10/2020;49.3488;48,7145;51,3786
08/10/2020;50.1786;49,073;51,5819
07/10/2020;49.4898;49,0221;51,7007
06/10/2020;49.5995;49,216;52,7953
05/10/2020;50.0806;48,8923;52,1178
02/10/2020;49.6713;48,1516;52,8473
01/10/2020;50.2256;48,7358;52,9071
30/09/2020;49.2832;48,8565;53,9171
29/09/2020;48.5437;48,3308;54,1475
28/09/2020;48.8683;49,1255;48,9969
25/09/2020;47.1195;44,9699;49,1402
24/09/2020;47.2498;44,9366;48,8348
23/09/2020;45.4584;44,7723;48,7606
22/09/2020;45.2759;44,5071;48,4794
21/09/2020;45.8833;44,2264;48,0924
18/09/2020;44.8847;43,9723;47,8584
17/09/2020;45.2266;43,8508;47,7336
16/09/2020;45.4122;44,0579;46,3433
15/09/2020;45.2934;43,816;47,8683
14/09/2020;45.5005;43,6889;47,9862
11/09/2020;44.7024;43,6893;47,8261
10/09/2020;44.4426;43,7653;47,617
09/09/2020;44.0603;43,5519;47,492
08/09/2020;44.1464;43,5096;47,5847
07/09/2020;44.0467;43,504;47,9394
04/09/2020;44.1798;43,504;48,4879
03/09/2020;44.1387;43,548;48,6117
02/09/2020;45.5581;43,4911;49,439
01/09/2020;45.3401;44,1646;46,1629
28/08/2020;43.1824;41,2081;46,2909
27/08/2020;41.7308;41,4517;46,5274
26/08/2020;41.2545;41,3814;46,4959
25/08/2020;40.5645;41,3674;46,8182
24/08/2020;40.8925;41,4015;47,0434
21/08/2020;40.1441;41,3311;47,181
20/08/2020;40.8972;41,1923;46,9685
19/08/2020;40.9598;41,5681;47,1443
18/08/2020;40.7411;41,3698;46,6929
17/08/2020;40.8628;41,7474;46,5077
14/08/2020;41.3225;41,7194;45,8154
13/08/2020;41.5256;41,9489;45,8432
12/08/2020;41.6992;42,1406;46,0873
11/08/2020;43.019;42,8486;46,3413
10/08/2020;45.5862;43,0726;46,9922
06/08/2020;44.3789;42,3579;46,6947
05/08/2020;44.8107;42,9981;47,2557
04/08/2020;45.0678;43,7288;47,7966
03/08/2020;45.0642;43,9588;45,7444
31/07/2020;44.2076;42,3815;45,609
29/07/2020;43.0874;42,112;46,0984
28/07/2020;42.7693;42,3425;46,5682
27/07/2020;42.2773;42,1241;46,4641
24/07/2020;44.4483;42,5176;46,9367
23/07/2020;44.4627;42,867;47,1796
22/07/2020;44.5453;43,0498;47,2424
21/07/2020;43.5971;43,0331;47,4145
20/07/2020;43.0357;42,8609;48,1475
17/07/2020;43.2347;43,1472;48,0046
16/07/2020;43.3102;43,0466;48,2298
15/07/2020;42.7257;42,9448;47,7651
14/07/2020;42.7782;42,6027;47,5605
13/07/2020;42.9894;42,9894;47,619
10/07/2020;43.7246;43,2377;47,7518
09/07/2020;44.6592;43,6132;48,4886
08/07/2020;46.7385;43,7373;48,5038
07/07/2020;46.4774;44,9423;48,9796
06/07/2020;46.2062;45,2777;48,3286
03/07/2020;45.2792;45,2483;49,0309
01/07/2020;45.4222;44,6667;48,8444
30/06/2020;44.1457;44,208;49,3723
29/06/2020;44.0391;44,395;49,911
26/06/2020;43.9066;40,6348;49,8351
25/06/2020;42.8813;40,5634;49,8796
24/06/2020;42.9778;40,4444;49,7333
23/06/2020;42.19;40,1557;49,3985
22/06/2020;40.9309;40,1048;49,8756
19/06/2020;40.8949;40,2685;50,0224
18/06/2020;39.9482;39,9929;49,8572
17/06/2020;39.8025;39,7581;50,3869
16/06/2020;40.9127;39,8207;50,3862
15/06/2020;40.2137;39,7898;50,2561
12/06/2020;39.0528;39,7192;50,3377
11/06/2020;40.17;39,2582;50,2346
10/06/2020;39.9156;39,3614;51,5877
09/06/2020;41.3404;39,9471;52,4691
08/06/2020;41.5161;40,5597;52,8693
05/06/2020;41.6962;40,8986;52,9954
04/06/2020;41.355;40,3582;53,6785
03/06/2020;42.0673;41,3105;53,9975
02/06/2020;41.7226;41,7674;53,8544
01/06/2020;38.6204;40,1473;48,2756
29/05/2020;38.0699;34,781;48,3871
28/05/2020;37.9198;34,9404;48,3929
27/05/2020;38.1714;35,1722;48,5322
26/05/2020;37.796;35,2459;48,8616
25/05/2020;38.0769;35,4587;49,3119
22/05/2020;38.211;35,4587;49,3119
21/05/2020;37.6747;35,3914;48,9086
20/05/2020;37.5786;35,3011;48,2828
19/05/2020;38.1192;35,6194;48,5304
18/05/2020;38.3065;35,9238;48,662
15/05/2020;38.7702;36,061;48,9598
14/05/2020;38.7819;36,2366;48,9171
12/05/2020;38.263;36,2807;49,0503
11/05/2020;39.5614;36,8777;48,9391
08/05/2020;40.821;36,9465;48,9391
07/05/2020;40.8512;36,9738;48,4675
06/05/2020;40.1149;37,0576;48,4528
05/05/2020;38.7525;36,6304;47,1028
04/05/2020;38.5109;35,7601;48,1386
30/04/2020;35.4633;36,4674;46,3259
29/04/2020;36.0802;35,8227;45,4152
28/04/2020;35.7552;35,7737;45,3873
27/04/2020;36.4795;36,1101;52,6413
24/04/2020;38.2163;41,5434;52,6802
23/04/2020;38.9755;41,7131;52,8489
22/04/2020;39.2719;41,7668;51,9313
21/04/2020;40.3924;41,5438;51,9068
17/04/2020;42.9386;41,9272;54,3398
16/04/2020;41.8366;41,9935;54,1301
15/04/2020;41.0287;41,6246;54,1854
14/04/2020;44.0842;41,6249;54,7864
10/04/2020;44.1244;42,7839;55,5962
09/04/2020;44.1567;42,7839;55,5962
08/04/2020;43.6441;42,8335;59,7366
07/04/2020;43.0251;43,2087;60,9331
06/04/2020;42.7949;42,8135;61,8571
03/04/2020;43.7454;42,9774;63,0551
02/04/2020;45.0442;43,8007;66,3688
01/04/2020;47.0717;43,7876;66,913
31/03/2020;46.0876;44,8817;65,4184
30/03/2020;46.4693;46,1253;58,3016
27/03/2020;47.1724;42,9982;57,675
26/03/2020;49.2383;43,4802;57,5354
25/03/2020;49.9081;44,1636;58,8235
24/03/2020;45.5178;44,359;59,2843
23/03/2020;45.798;44,3056;59,2295
20/03/2020;46.9422;44,3707;60,4077
19/03/2020;46.1459;43,9663;60,898
18/03/2020;45.4504;43,3428;59,9285
17/03/2020;43.9705;42,7883;59,4762
16/03/2020;43.243;41,6331;59,1629
12/03/2020;42.4305;41,3127;59,4205
11/03/2020;42.1585;41,2266;58,0456
10/03/2020;42.1137;41,1384;57,9395
09/03/2020;41.3209;40,5783;58,5743
06/03/2020;42.623;41,7368;61,7191
05/03/2020;42.9131;42,3525;63,6178
04/03/2020;42.7789;42,3029;65,6548
03/03/2020;42.0732;42,0732;74,3802
02/03/2020;42.7866;42,0859;74,3802
28/02/2020;42.8571;43,8095;75,3741
27/02/2020;42.9624;43,7807;75,5592
26/02/2020;43.1106;44,1217;76,5236
25/02/2020;44.2136;44,1677;76,6615
24/02/2020;43.4021;44,2315;77,0365
21/02/2020;44.0376;44,591;77,1927
20/02/2020;46.2116;44,9318;77,7613
19/02/2020;45.3813;45,5387;78,0267
18/02/2020;47.0299;45,7789;78,5377
14/02/2020;48.4765;46,6297;78,5319
13/02/2020;47.2786;46,1255;78,4594
12/02/2020;45.0741;44,8441;78,3277
11/02/2020;44.8965;44,1176;77,79
10/02/2020;43.8904;43,5879;76,4048
07/02/2020;45.5085;44,0921;77,4011
06/02/2020;45.3552;44,6266;77,4135
05/02/2020;46.3763;44,9668;76,1117
04/02/2020;44.3579;44,1949;72,9035
03/02/2020;42.6388;43,1814;75,737
31/01/2020;42.5944;45,4341;77,5264
